,Customer_ID,prediccion,%_proba
38953,1051372,1.0,0.8493478504657558
39363,1052129,1.0,0.6708044755230508
39416,1052217,1.0,0.5431906019250612
39474,1052297,1.0,0.6067784047134422
39478,1052301,1.0,0.790283810070315
39847,1052875,1.0,0.5723870975982053
39859,1052893,1.0,0.5165959853424514
39883,1052930,1.0,0.5072199503254564
39982,1053126,1.0,0.5805758457444196
40001,1053156,1.0,0.650809287926746
40057,1053265,1.0,0.8070557349896288
40181,1053441,1.0,0.7289199671543154
40316,1053696,1.0,0.7322727326812307
40386,1053826,1.0,0.7066442035230474
40404,1053857,1.0,0.5456545773545768
40422,1053895,1.0,0.6724342650284459
40485,1054018,1.0,0.5796148232750269
40535,1054135,1.0,0.5482825516630092
40669,1054398,1.0,0.7363165977004477
40693,1054446,1.0,0.7840754967572842
40822,1054671,1.0,0.525369666619238
41072,1055053,1.0,0.6292404937612612
41080,1055071,1.0,0.5555859689131815
41146,1055197,1.0,0.5424160961438037
41150,1055204,1.0,0.5820458112107054
41158,1055214,1.0,0.529049353658217
41165,1055225,1.0,0.6798913299676671
41268,1055400,1.0,0.5281828933347517
41297,1055453,1.0,0.8131018202502205
41332,1055512,1.0,0.5031413744708354
41439,1055689,1.0,0.6985388459080365
41444,1055698,1.0,0.5140302729948829
41453,1055721,1.0,0.5592030842430757
41747,1056116,1.0,0.5258797568330643
41752,1056130,1.0,0.8001336478509589
42085,1056549,1.0,0.6255896392099729
42097,1056566,1.0,0.8067068832093264
42445,1057014,1.0,0.6019213758715887
43009,1057749,1.0,0.6782986516195518
43021,1057768,1.0,0.5115771387448875
43453,1058319,1.0,0.7098234663008317
43459,1058329,1.0,0.602257772752631
43468,1058353,1.0,0.6367413623925502
43472,1058363,1.0,0.6077578129695592
44153,1059127,1.0,0.6580646391916518
45287,1060492,1.0,0.5105253603636053
45537,1060788,1.0,0.8267650383669586
45766,1061035,1.0,0.5966709027870691
46007,1061309,1.0,0.5416510304466515
46260,1061621,1.0,0.75905594773054
46261,1061622,1.0,0.589824809865568
46277,1061656,1.0,0.5441605053909436
46307,1061698,1.0,0.5448313031606355
46892,1062365,1.0,0.8452454139451424
46936,1062437,1.0,0.5460032867881405
46938,1062439,1.0,0.7443752390480942
47645,1063253,1.0,0.6526547109086432
47651,1063262,1.0,0.5510514555781436
47676,1063301,1.0,0.5415226910978997
47692,1063331,1.0,0.7073194691508176
47700,1063346,1.0,0.6204325747449975
47701,1063347,1.0,0.6440191842735323
48363,1064080,1.0,0.63557024218123
48411,1064147,1.0,0.5592687623785398
48431,1064183,1.0,0.6139292061196236
48458,1064217,1.0,0.5614966040973708
50308,1066355,1.0,0.5345507392450352
51154,1067351,1.0,0.5877647220315938
52030,1068401,1.0,0.5955467356471198
53782,1070430,1.0,0.6084051808381424
54937,1071774,1.0,0.6734094276602335
54994,1071864,1.0,0.8303273218018208
56034,1073080,1.0,0.520795300495856
56872,1074022,1.0,0.6027220080911432
57063,1074226,1.0,0.609697100062146
57083,1074262,1.0,0.5174580020468478
57108,1074303,1.0,0.5413288029469973
57199,1074411,1.0,0.5320061436378731
58117,1075471,1.0,0.6499448676348955
58144,1075515,1.0,0.5090431072654673
58940,1076423,1.0,0.5143130809111341
59745,1077389,1.0,0.541608648276369
59760,1077413,1.0,0.7558475619853542
59764,1077419,1.0,0.5370483770459554
59813,1077511,1.0,0.6870287330597645
59889,1077613,1.0,0.5699745069585556
60387,1078172,1.0,0.5758332020014292
60393,1078184,1.0,0.7004386433092143
60418,1078232,1.0,0.5493665759313267
60451,1078284,1.0,0.5302110630806538
60466,1078303,1.0,0.5935839409694573
60483,1078325,1.0,0.5135461984034371
60827,1078699,1.0,0.6043201947359633
61725,1079793,1.0,0.7174715440026125
61730,1079800,1.0,0.5973200364593881
61735,1079805,1.0,0.5703533324616276
62524,1080722,1.0,0.5018247144567005
62525,1080724,1.0,0.5081195603421759
62546,1080761,1.0,0.5055249880830573
62551,1080766,1.0,0.5088022928558171
62590,1080837,1.0,0.605734857886531
62603,1080858,1.0,0.5952698796287635
63280,1081685,1.0,0.5954937142774613
63436,1081892,1.0,0.581154824138959
64373,1082967,1.0,0.5519049253495383
64377,1082971,1.0,0.7478984563252479
64411,1083026,1.0,0.5908266103630802
65037,1083770,1.0,0.7009268246407911
65082,1083837,1.0,0.5402901059140319
66249,1085353,1.0,0.721644491180778
66799,1085981,1.0,0.542500187183631
66810,1085997,1.0,0.6315162317684059
66811,1085999,1.0,0.5451363093116418
66822,1086030,1.0,0.5593981346134537
67577,1086961,1.0,0.5342557915948162
67714,1087135,1.0,0.7483595643374626
68407,1087899,1.0,0.5842000924422955
68448,1087972,1.0,0.5266125599432833
68579,1088141,1.0,0.5000680894371751
69286,1088927,1.0,0.5937545034128723
69327,1088977,1.0,0.5571711692301847
69356,1089029,1.0,0.5642817917195613
69380,1089072,1.0,0.5493928504412696
70036,1089854,1.0,0.579311393751419
